Discounted_Price,Actual_Price,Current_Discount,Rating,Sales,Type,Optimal_Discount
"₹20,990","₹44,990",53%,4.1,1259,Electronics,19.58622704596018
"₹32,999","₹44,999",27%,4.2,45238,Electronics,19.586587125176166
₹799,"₹1,700",53%,4.1,28638,Electronics,6.661253991647823
₹229,₹595,62%,4.3,12835,Electronics,3.7135261429556268
"₹9,999","₹27,990",64%,4.2,1269,Electronics,18.555405543678518
₹349,₹599,42%,4.2,284,Electronics,3.7262949237972207
₹489,"₹1,200",59%,4.4,69538,Electronics,5.4575948679116655
"₹23,999","₹34,990",31%,4.3,4703,Electronics,19.08600196968711
₹399,₹999,60%,4.3,2806,Computers&Accessories,29.916844078715123
₹349,"₹1,299",73%,4.0,3295,Electronics,5.711091326642954
₹179,₹299,40%,3.9,81,Computers&Accessories,27.714803800315575
₹689,"₹1,500",54%,4.2,42301,Computers&Accessories,31.201673601584318
"₹30,990","₹49,990",38%,4.3,1376,Electronics,19.768114669165854
₹249,₹931,73%,3.9,1075,Computers&Accessories,29.725725843390734
₹999,"₹2,399",58%,4.6,3664,Electronics,8.071287215177424
₹399,₹399,0%,3.9,1951,Electronics,3.064678616993036
₹349,₹699,50%,4.3,20850,Computers&Accessories,29.03935092689105
₹399,"₹1,099",64%,4.1,2685,Computers&Accessories,30.190158473000817
"₹1,699","₹2,999",43%,4.4,24780,Computers&Accessories,34.08472629086279
₹655,"₹1,099",40%,3.2,285,Electronics,5.190496612777296
₹749,"₹1,339",44%,4.2,179692,Computers&Accessories,30.810930096784965
"₹9,999","₹12,999",23%,4.2,6088,Electronics,16.03076291129759
₹195,₹499,61%,3.7,1383,Electronics,3.4015025578728895
₹999,"₹2,100",52%,4.5,5492,Computers&Accessories,32.501781943946185
₹499,₹899,44%,4.2,919,Computers&Accessories,29.634263219120538
₹416,₹599,31%,4.2,30023,Electronics,3.7262949237972207
₹368,₹699,47%,4.2,387,Computers&Accessories,29.03935092689105
"₹29,990","₹65,000",54%,4.1,211,Electronics,20.158055697404752
₹339,"₹1,099",69%,4.3,974,Computers&Accessories,30.190158473000817
"₹15,490","₹20,900",26%,4.3,16299,Electronics,17.725623264972324
₹499,"₹1,299",62%,4.3,30411,Computers&Accessories,30.710753186866473
₹249,₹399,38%,3.4,4642,Computers&Accessories,28.06434047721656
₹399,₹799,50%,4.3,12,Electronics,4.342274651411601
"₹1,499","₹1,999",25%,4.4,1951,Computers&Accessories,32.29853359257204
"₹9,490","₹15,990",41%,3.9,10480,Electronics,16.822453710063844
₹637,"₹1,499",58%,4.1,24,Electronics,6.199644513266533
₹399,₹899,56%,3.9,254,Electronics,4.634601358897015
"₹1,089","₹1,600",32%,4.0,3565,Electronics,6.43511197446103
₹339,₹999,66%,4.3,6255,Computers&Accessories,29.916844078715123
₹149,₹499,70%,4.0,7732,Computers&Accessories,28.401164418096407
₹149,₹399,63%,3.9,57,Computers&Accessories,28.06434047721656
₹599,₹849,29%,4.5,577,Computers&Accessories,29.489349338396657
₹299,"₹1,199",75%,3.9,1193,Electronics,5.454992991438353
₹399,"₹1,299",69%,4.2,13120,Computers&Accessories,30.710753186866473
₹339,"₹1,999",83%,4.0,343,Electronics,7.298871732348519
"₹12,499","₹22,990",46%,4.3,1611,Electronics,18.013922588641417
₹249,₹399,38%,4.0,6558,Computers&Accessories,28.06434047721656
"₹1,399","₹2,499",44%,4.4,23169,Computers&Accessories,33.251177638019946
"₹32,999","₹47,990",31%,4.3,4703,Electronics,19.699478607387768
₹149,₹399,63%,4.0,1423,Computers&Accessories,28.06434047721656
₹325,₹999,67%,4.3,2651,Computers&Accessories,29.916844078715123
₹399,"₹1,999",80%,5.0,5,Computers&Accessories,32.29853359257204
₹199,₹499,60%,3.7,612,Computers&Accessories,28.401164418096407
₹88,₹299,71%,4.0,9378,Computers&Accessories,27.714803800315575
₹399,"₹1,099",64%,4.1,2685,Computers&Accessories,30.190158473000817
₹57.89,₹199,71%,4.0,9378,Computers&Accessories,27.351820819244523
₹799,"₹1,999",60%,3.3,576,Electronics,7.298871732348519
₹205,₹499,59%,3.8,313,Electronics,3.4015025578728895
₹299,₹699,57%,4.1,2957,Computers&Accessories,29.03935092689105
₹849,₹999,15%,4.1,6736,Computers&Accessories,29.916844078715123
₹949,"₹1,999",53%,4.4,13552,Computers&Accessories,32.29853359257204
₹499,"₹1,200",58%,4.3,5451,Computers&Accessories,30.457256728135185
₹299,₹485,38%,4.3,10911,Computers&Accessories,28.354748421021945
₹949,"₹1,999",53%,4.4,13552,Computers&Accessories,32.29853359257204
₹379,"₹1,099",66%,4.3,2806,Computers&Accessories,30.190158473000817
"₹8,990","₹18,990",53%,3.9,350,Electronics,17.41822362451724
₹486,"₹1,999",76%,4.2,30023,Electronics,7.298871732348519
"₹5,699","₹11,000",48%,4.2,4003,Electronics,15.336627125976182
₹709,"₹1,999",65%,4.1,178817,Computers&Accessories,32.29853359257204
"₹47,990","₹70,900",32%,4.3,7109,Electronics,20.26910406932269
₹299,"₹1,199",75%,3.7,490,Electronics,5.454992991438353
₹320,₹599,47%,4.1,491,Computers&Accessories,28.725956784020738
₹139,₹549,75%,3.9,61,Computers&Accessories,28.565023893390183
₹129,₹249,48%,4.0,9378,Computers&Accessories,27.53504112946509
"₹24,999","₹35,999",31%,4.2,32840,Electronics,19.147543245881547
₹999,"₹1,699",41%,4.4,7318,Computers&Accessories,31.658687851702016
₹225,₹499,55%,4.1,789,Computers&Accessories,28.401164418096407
₹547,"₹2,999",82%,4.3,407,Electronics,9.085064430639264
₹259,₹699,63%,3.8,2399,Computers&Accessories,29.03935092689105
₹239,₹699,66%,4.4,2640,Electronics,4.03968906666753
₹349,₹999,65%,4.0,839,Electronics,4.9171822184916
₹467,₹599,22%,4.4,44054,Electronics,3.7262949237972207
₹449,₹599,25%,4.0,3231,Computers&Accessories,28.725956784020738
"₹11,990","₹31,990",63%,4.2,64,Electronics,18.883193765608517
₹350,₹599,42%,3.9,8314,Computers&Accessories,28.725956784020738
₹252,₹999,75%,3.7,2249,Computers&Accessories,29.916844078715123
₹204,₹599,66%,3.6,339,Electronics,3.7262949237972207
"₹6,490","₹9,990",35%,4.0,27,Electronics,14.91551304992548
₹235,₹599,61%,3.5,197,Electronics,3.7262949237972207
₹299,₹800,63%,4.5,74977,Computers&Accessories,29.344909675854876
₹799,"₹1,999",60%,4.2,8583,Computers&Accessories,32.29853359257204
₹299,₹999,70%,3.8,928,Electronics,4.9171822184916
